BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,BandGap_class
0.5,359.26,178.33,139,211,120.33,119,122,125.0,115,135,6.06,5.32,7.13,0
0.94,212.68,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,0
0.97,213.04,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,0
0.79,213.22,170.33,139,217,110.67,71,139,115.0,65,145,5.08,0.81,7.31,0
0.78,342.27,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,0
1.81,342.3,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,0
1.95,342.28,178.0,139,210,117.33,111,122,120.0,110,135,5.06,2.33,7.13,0
1.21,335.64,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,0
2.7,335.73,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,0
2.33,334.95,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,0
0.36,355.55,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,0
1.78,355.29,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,0
1.62,354.99,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,0
0.1,244.97,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,0
0.45,245.51,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,0
0.15,245.5,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,0
0.21,400.03,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,0
0.27,400.34,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,0
0.24,400.63,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,0
1.39,356.34,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,0
1.67,356.57,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,0
1.69,356.84,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,0
0.75,399.77,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,0
1.29,400.1,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,0
