compound,AM1,AN1,Period1,group1,First_IE1,Second_IE1,elctron_AF1,paulielctrneg1  ,Allen_electneg1,vand_rad1,cov_rad1,atom_rad1,metling1,boiling1,density1,molarVol1,heat_fus1,heat_vap1,thermal_con1,spec_heat1,AM2,AN2,Period2,group2,First_IE21,Second_IE12,elctron_AF2,paulielctrneg2,Allen_electneg2,vand_rad2,cov_rad2,atom_rad2,metling2,boiling2,density2,molarVol2,heat_fus2,heat_vap2,thermal_con2,spec_heat2,AM3,AN3,Period3,group3,First_IE3,Second_IE3,elctron_AF3,paulielctrneg3  ,Allen_electneg3,vand_rad3,cov_rad3,atom_rad3,metling3,boiling3,density3,molarVol3,heat_fus3,heat_vap3,thermal_con3,spec_heat3,ST,KT,CP,BandGap,Ksgap,Volume
AlInP2  ,26.981,13,3,13,577.5,1816.7,-41.8,1.61,1.613,184,121,125,660.3,2470,2.6989,0.00000999,10.7,293,2.37,904,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,30.97,15,3,15,1011.8,1907,-72,2.19,2.253,180,107,100,44.2,277,1.82,0.000016991,0.64,12.4,0.00235,769.7,0,1,0,2.98,2.06,363.656
AlInP2  ,26.981,13,3,13,577.5,1816.7,-41.8,1.61,1.613,184,121,125,660.3,2470,2.6989,0.00000999,10.7,293,2.37,904,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,30.97,15,3,15,1011.8,1907,-72,2.19,2.253,180,107,100,44.2,277,1.82,0.000016991,0.64,12.4,0.00235,769.7,0,0,1,2.89,1.97,363.636
AlInAs2  ,26.981,13,3,13,577.5,1816.7,-41.8,1.61,1.613,184,121,125,660.3,2470,2.6989,0.00000999,10.7,293,2.37,904,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,1,0,0,1.55,1.12,405.592
AlInAs2 ,26.981,13,3,13,577.5,1816.7,-41.8,1.61,1.613,184,121,125,660.3,2470,2.6989,0.00000999,10.7,293,2.37,904,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,1,0,1.7,1.22,405.077
AlInAs2 ,26.981,13,3,13,577.5,1816.7,-41.8,1.61,1.613,184,121,125,660.3,2470,2.6989,0.00000999,10.7,293,2.37,904,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,0,1,1.67,1.2,405.223
GaInAs2  ,69.72,31,4,13,578.8,1979.3,-40,1.81,1.756,187,122,130,29.76,2400,5.91,0.000011809,5.59,256,0.406,371,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,1,0,0,0.27,0.2,407.411
GaInAs2  ,69.72,31,4,13,578.8,1979.3,-40,1.81,1.756,187,122,130,29.76,2400,5.91,0.000011809,5.59,256,0.406,371,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,1,0,0.43,0.32,406.711
GaInAs2  ,69.72,31,4,13,578.8,1979.3,-40,1.81,1.756,187,122,130,29.76,2400,5.91,0.000011809,5.59,256,0.406,371,114.8,49,5,13,558.3,1820.7,-29,1.78,1.656,193,142,155,156.6,2072,7.31,0.000015707,3.26,230,0.816,233,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,0,1,0.38,0.28,407.101
CdSiAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,28.9,14,3,14,786.5,1577.1,-134.1,1.9,1.916,210,111,110,1414,3265,2.33,0.000012054,50.2,359,1.48,710,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,1,0,0,0.15,0.11,380.708
CdSiAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,28.9,14,3,14,786.5,1577.1,-134.1,1.9,1.916,210,111,110,1414,3265,2.33,0.000012054,50.2,359,1.48,710,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,1,0,1.47,1.07,379.893
CdSiAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,28.9,14,3,14,786.5,1577.1,-134.1,1.9,1.916,210,111,110,1414,3265,2.33,0.000012054,50.2,359,1.48,710,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,0,1,1.34,0.97,379.433
CdGeAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,1,0,0,0,-0.11,401.167
CdGeAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,1,0,0.11,0.08,400.107
CdGeAs2  ,112.4,48,5,12,867.8,1631.4,70,1.69,1.52,158,144,155,321.07,767,8.65,0.000012996,6.3,100,0.968,230,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,0,1,0.07,0.05,399.976
ZnGeAs2  ,65.39,30,4,12,906.4,1733.3,0,1.65,1.59,139,122,135,419.53,907,7.133,0.000009157,7.35,119,1.16,388,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,1,0,0,0.07,0.05,358.941
ZnGeAs2  ,65.39,30,4,12,906.4,1733.3,0,1.65,1.59,139,122,135,419.53,907,7.133,0.000009157,7.35,119,1.16,388,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,1,0,0.58,0.43,359.2
ZnGeAs2  ,65.39,30,4,12,906.4,1733.3,0,1.65,1.59,139,122,135,419.53,907,7.133,0.000009157,7.35,119,1.16,388,72.64,32,4,14,762,1537.5,-118.9,2.01,1.994,211,120,125,938.3,2833,5.323,0.000013645,31.8,334,0.599,321.4,74.92,33,4,15,947,1798,-78,2.18,2.211,185,119,115,817,614,5.73,0.000013082,27.7,32.4,0.502,328,0,0,1,0.5,0.37,359.263
