compound,BandGap,Volume,vand_rad_Avg,vand_rad_Min,vand_rad_Max,cov_rad_Avg,cov_rad_Min,cov_rad_Max,atom_rad_Avg,atom_rad_Min,atom_rad_Max,density_Avg,density_Min,density_Max,d001,d002,d003,bandgap_SISSO
CdSiP2  ,1.21,335.64,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,26.29199621465679,-5783.567123419175,-0.001234049704619445,2.0495440678615635
CdSiP2  ,2.7,335.73,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,26.288678554536588,-5783.567123419175,-0.001234049704619445,2.04900216381644
CdSiP2  ,2.33,334.95,182.67,158,210,120.67,107,144,121.67,100,155,4.27,1.82,8.65,26.317504815394205,-5783.567123419175,-0.001234049704619445,2.053710623031229
CdGeP2  ,0.36,355.55,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,22.02720370990477,-3765.1530858604365,-0.0008207432415016165,1.469889836450639
CdGeP2  ,1.78,355.29,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,22.03436805923608,-3765.1530858604365,-0.0008207432415016165,1.4710600557445523
CdGeP2  ,1.62,354.99,183.0,158,211,123.67,107,144,126.67,100,155,5.26,1.82,8.65,22.042650559315238,-3765.1530858604365,-0.0008207432415016165,1.4724129129191896
CdSnN2  ,0.1,244.97,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,19.121623554628748,-15755.612428769402,-0.00032965824048438374,0.21540619245343318
CdSnN2  ,0.45,245.51,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,19.095030638347964,-15755.612428769402,-0.00032965824048438374,0.21106252601924624
CdSnN2  ,0.15,245.5,176.67,155,217,118.0,71,144,121.67,65,155,5.59,0.81,8.65,19.09552170106137,-15755.612428769402,-0.00032965824048438374,0.21114273582409715
ZnSnAs2  ,0.21,400.03,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,13.074783413844733,-1948.1760001209161,-0.0009071715894421271,0.12613600751569298
ZnSnAs2 ,0.27,400.34,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,13.071265938796492,-1948.1760001209161,-0.0009071715894421271,0.1255614658543418
ZnSnAs2 ,0.24,400.63,180.33,139,217,126.67,119,139,131.67,115,145,6.72,5.73,7.31,13.067981180464693,-1948.1760001209161,-0.0009071715894421271,0.12502493596195996
ZnSnP2  ,1.39,356.34,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,20.40185590496289,-3042.084269559506,-0.0006993912555815976,1.2470754560247836
ZnSnP2  ,1.67,356.57,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,20.396723176379854,-3042.084269559506,-0.0006993912555815976,1.2462370800969043
ZnSnP2  ,1.69,356.84,178.67,139,217,122.67,107,139,126.67,100,145,5.42,1.82,7.31,20.390707886145567,-3042.084269559506,-0.0006993912555815976,1.245254547229629
CdSnP2  ,0.75,399.77,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,19.157697599758244,-1207.526760117927,0.008056006026594746,0.9080625394136403
CdSnP2  ,1.29,400.1,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,19.151453572287913,-1207.526760117927,0.008056006026594746,0.9070426447826552
CdSnP2  ,1.14,400.28,185.0,158,217,130.0,107,144,133.33,100,155,5.93,1.82,8.65,19.148052934856707,-1207.526760117927,0.008056006026594746,0.9064871872875535
